mean_rp,rel_std_rp,k,Df,Np,agg_num,Rve,Rg,eps_agg,h5_file,h5_key
0.015,0.1,0.95,2.35,2000,3,0.19046950970095056,0.4023399645716025,0.950691277928821,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/02000/3
0.015,0.1,0.95,2.35,2050,3,0.1918688330566917,0.40585386489832836,0.9508943889074426,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/02050/3
0.015,0.1,0.95,2.35,2100,3,0.19379694375832093,0.4108425198822404,0.9512200339021364,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/02100/3
0.015,0.1,0.95,2.35,2150,3,0.1962386498571589,0.4156289620503431,0.9510826289017177,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/02150/3
0.015,0.1,0.95,2.35,2200,3,0.19643059333716106,0.4194472399875981,0.9522666144977826,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/02200/3
0.015,0.1,0.95,2.35,2250,3,0.19845882518458802,0.4231364281074044,0.9520490874037711,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/02250/3
0.015,0.1,0.95,2.35,2300,3,0.20062073193327723,0.427388431739447,0.9519286831977403,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/02300/3
0.015,0.1,0.95,2.35,2350,3,0.2022639599955723,0.4312439806759508,0.9520472791496959,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/02350/3
0.015,0.1,0.95,2.35,2400,3,0.2026810628479968,0.4364039349538048,0.9534413455042078,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/02400/3
0.015,0.1,0.95,2.35,2450,3,0.20504247030491743,0.4408223796164334,0.9532299915681909,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/02450/3
0.015,0.1,0.95,2.35,2500,3,0.20540556680072736,0.4421434695223291,0.9534012937356839,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/02500/3
0.015,0.1,0.95,2.35,2550,3,0.2066290858076781,0.44615167889623386,0.9538306624203179,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/02550/3
0.015,0.1,0.95,2.35,2600,3,0.20815212104605804,0.4475332213046216,0.953237948129629,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/02600/3
0.015,0.1,0.95,2.35,2650,3,0.20943373400676812,0.45298199060632555,0.9540670884033954,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/02650/3
0.015,0.1,0.95,2.35,2700,3,0.21136390853962134,0.4565997828493979,0.9538987960090792,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/02700/3
0.015,0.1,0.95,2.35,2750,3,0.21214053893694357,0.46070598987568473,0.9546239902234782,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/02750/3
0.015,0.1,0.95,2.35,2800,3,0.21356212904421548,0.46380684528414606,0.954627977506142,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/02800/3
0.015,0.1,0.95,2.4,350,3,0.10568339013940742,0.17995431567803996,0.9058630149109302,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/00350/3
0.015,0.1,0.95,2.4,400,3,0.11053529349241552,0.18940922050818806,0.9076309597101773,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/00400/3
0.015,0.1,0.95,2.4,450,3,0.11576931824794284,0.20024912750941495,0.9101960570395379,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/00450/3
0.015,0.1,0.95,2.4,500,3,0.1201630918096489,0.2097184532840321,0.9125760912173692,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/00500/3
0.015,0.1,0.95,2.4,550,3,0.12426007806558448,0.2204301931382696,0.9167453501877642,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/00550/3
0.015,0.1,0.95,2.4,600,3,0.12856481871250489,0.22894753190478512,0.9177027349891225,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/00600/3
0.015,0.1,0.95,2.4,650,3,0.1309923055256347,0.2331438281868148,0.9175686402508239,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/00650/3
0.015,0.1,0.95,2.4,700,3,0.13411753807779017,0.23895527377468662,0.9178261312524828,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/00700/3
0.015,0.1,0.95,2.4,750,3,0.13792407354509728,0.25037568646806474,0.9223090122992047,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/00750/3
0.015,0.1,0.95,2.4,800,3,0.13940767575274673,0.2541732822792885,0.9233173269185297,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/00800/3
